Rk,Player Name,Nation,Position,Squad,Comp,Age,Birth Year,Games,Starts,Minutes,Nintys,Gls,Ast,G+A,G-PK,PK,PKatt,Yellow,Red,PrgC,PrgP,PrgR,Market Value
1,max aarons,ENG,DF,bournemouth,Premier League,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,1,8,3,16.0
3,rodrigo abajas,ESP,DF,valencia,La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,3,2,3,80.0
4,james abankwah,IRL,DF,udinese,Serie A,21,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,3,4,1,12.58
5,keyliane abdallah,FRA,FW,marseille,Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,1,0,0,12.58
6,yunis abdelhamid,MAR,DF,sainttienne,Ligue 1,37,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,4,22,3,12.58
7,himad abdelli,ALG,MF,angers,Ligue 1,25,1999,22,22,1952,21.7,6,1,7,3,3,4,2,0,80,147,90,12.58
8,mohamed abdelmoneim,EGY,DF,nice,Ligue 1,26,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,2,26,3,1.7
9,ali abdi,TUN,DF,nice,Ligue 1,31,1993,15,11,931,10.3,2,2,4,2,0,0,1,0,26,29,58,12.58
10,saud abdulhamid,KSA,DF,roma,Serie A,25,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,4,6,18,12.58
11,abel,ESP,DF,osasuna,La Liga,24,2000,24,13,1407,15.6,2,0,2,2,0,0,2,0,34,49,53,7.5
12,nabil aberdin,FRA,MF,getafe,La Liga,22,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,2,6,2,12.58
13,oliver abildgaard,DEN,MF,como,Serie A,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,12.58
14,matthis abline,FRA,FW,nantes,Ligue 1,21,2003,23,22,1831,20.3,7,1,8,6,1,1,2,0,48,33,119,9.0
15,abner,BRA,DF,lyon,Ligue 1,24,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,22,51,48,9.0
16,zakaria aboukhlal,MAR,MF,toulouse,Ligue 1,25,2000,23,22,1827,20.3,7,2,9,6,1,2,4,0,29,22,152,10.0
17,abdel abqar,MAR,DF,alavs,La Liga,25,1999,23,23,1938,21.5,0,1,1,0,0,0,12,0,14,70,4,7.5
18,tammy abraham,ENG,FW,roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0,1,2,38.0
20,federico accornero,ITA,MF,genoa,Serie A,21,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,12.58
21,francesco acerbi,ITA,DF,inter,Serie A,37,1988,12,12,940,10.4,0,1,1,0,0,0,0,0,8,39,6,12.58
22,joshua acheampong,ENG,DF,chelsea,Premier League,18,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0,7,0,12.58
23,akor adams,NGA,FW,sevilla,La Liga,25,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,1,1,9.0
25,che adams,SCO,FW,torino,Serie A,28,1996,24,19,1666,18.5,7,3,10,7,0,0,1,0,17,24,98,15.0
26,tyler adams,USA,MF,bournemouth,Premier League,26,1999,16,10,987,11.0,0,3,3,0,0,0,4,0,7,40,5,15.0
27,junior adamu,AUT,FW,freiburg,Bundesliga,23,2001,17,11,969,10.8,2,1,3,2,0,0,3,1,5,7,52,18.0
28,tosin adarabioyo,ENG,DF,chelsea,Premier League,27,1997,13,9,906,10.1,1,0,1,1,0,0,2,0,5,26,1,20.0
29,martin adeline,FRA,MF,reims,Ligue 1,21,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,1,0,1,12.58
30,karim adeyemi,GER,FW,dortmund,Bundesliga,23,2002,14,9,761,8.5,2,3,5,2,0,0,2,0,41,13,83,35.0
31,simon adingra,CIV,FW,brighton,Premier League,23,2002,18,6,612,6.8,2,1,3,2,0,0,0,0,23,9,79,30.0
32,amine adli,MAR,MF,leverkusen,Bundesliga,24,2000,9,3,280,3.1,1,0,1,1,0,0,1,0,16,11,49,22.0
33,yacine adli,FRA,MF,fiorentina,Serie A,24,2000,20,14,1120,12.4,3,4,7,3,0,0,3,1,22,96,23,15.0
34,adrin,ESP,GK,betis,La Liga,38,1987,6,6,540,6.0,0,0,0,0,0,0,2,0,0,0,0,15.0
35,adryelson,BRA,DF,lyon,Ligue 1,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0,1,0,12.58
36,vasilije adi,MNE,MF,juventus,Serie A,18,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0,1,2,12.58
37,michel aebischer,SUI,MF,bologna,Serie A,28,1997,8,5,382,4.2,0,0,0,0,0,0,0,0,4,20,9,10.0
38,oladapo afolayan,ENG,FW,st pauli,Bundesliga,27,1998,22,13,1297,14.4,2,1,3,2,0,0,2,0,43,23,87,10.0
39,emmanuel agbadou,CIV,DF,wolves,Premier League,27,1997,5,5,420,4.7,0,0,0,0,0,0,2,0,1,9,0,10.0
41,asher agbinone,ENG,MF,crystal palace,Premier League,19,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,2,0,1,12.58
42,jeremy agbonifo,SWE,FW,lens,Ligue 1,19,2005,4,0,147,1.6,1,0,1,1,0,0,0,0,6,2,17,3.5
43,julen agirrezabala,ESP,GK,athletic club,La Liga,24,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0,0,0,15.0
44,lucien agoume,FRA,MF,sevilla,La Liga,23,2002,22,13,1132,12.6,0,0,0,0,0,0,3,1,13,55,13,7.0
45,felix agu,GER,DF,werder bremen,Bundesliga,25,1999,11,10,829,9.2,2,0,2,2,0,0,1,0,18,17,71,5.0
46,lvaro aguado,ESP,MF,espanyol,La Liga,28,1996,11,4,406,4.5,0,0,0,0,0,0,2,0,9,25,2,12.58
47,lorenzo aguado,ESP,DF,real madrid,La Liga,22,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,12.58
48,nayef aguerd,MAR,DF,real sociedad,La Liga,28,1996,19,19,1580,17.6,0,0,0,0,0,0,5,0,23,70,1,35.0
49,ruben aguilar,FRA,DF,lens,Ligue 1,31,1993,8,5,448,5.0,0,1,1,0,0,0,1,0,6,21,39,12.58
50,naouirou ahamada,FRA,MF,rennes,Ligue 1,22,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,2,1,1,12.58
51,honest ahanor,ITA,DF,genoa,Serie A,17,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,1,2,3,3.0
52,erik ahlstrand,SWE,FW,st pauli,Bundesliga,23,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,1,1,3,7.5
53,jeaneudes aholou,CIV,MF,angers,Ligue 1,30,1994,21,21,1590,17.7,2,0,2,2,0,0,6,0,14,61,13,1.8
54,joseph aidoo,GHA,DF,valladolid,La Liga,29,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0,3,0,12.58
56,ayman aiki,FRA,FW,sainttienne,Ligue 1,19,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,4,5,8,12.58
